School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
Woodrow Wilson Elem,Hays,DNE,-1,Ellis County,28870,Hays,21078,67601,24279,KS
Victoria Elementary,Victoria,DNE,-1,Ellis County,28870,Victoria,994,67671,1369,KS
Victoria Junior-Senior High School,Victoria,DNE,-1,Ellis County,28870,Victoria,994,67671,1369,KS
Ellsworth Elem,Ellsworth,DNE,-1,Ellsworth County,6366,Ellsworth,3098,67439,3412,KS
Ellsworth High,Ellsworth,DNE,-1,Ellsworth County,6366,Ellsworth,3098,67439,3412,KS
Central Plains Elementary School - Holyrood,Central Plains,DNE,-1,Ellsworth County,6366,Holyrood,381,67450,468,KS
Kanopolis Middle,Ellsworth,DNE,-1,Ellsworth County,6366,Kanopolis,567,67454,640,KS
Wilson Elementary School,Central Plains,DNE,-1,Ellsworth County,6366,Wilson,824,67490,991,KS
Abe Hubert Elementary School,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Alta Brown Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Bernadine Sitts Intermediate Ctr,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Buffalo Jones Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Charles O Stones Intermediate Ctr,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
DNE,DNE,Garden City Community College,2,Finney County,38001,Garden City,27781,DNE,-1,KS
Edith Scheuerman Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Florence Wilson Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
GC Achieve at J.D. Adams Hall,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Garden City High School,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Georgia Matthews Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Gertrude Walker Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Horace J. Good Middle School,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Jennie Barker Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Jennie Wilson Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Kenneth Henderson Middle,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Plymell Elementary,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
USD 457 Virtual Academy,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Victor Ornelas Elem,Garden City,DNE,-1,Finney County,38001,Garden City,27781,67846,34276,KS
Holcomb Elem 3-5,Holcomb,DNE,-1,Finney County,38001,Holcomb,2582,67851,3271,KS
Holcomb High,Holcomb,DNE,-1,Finney County,38001,Holcomb,2582,67851,3271,KS
Holcomb Middle,Holcomb,DNE,-1,Finney County,38001,Holcomb,2582,67851,3271,KS
USD 363 Virtual Academy,Holcomb,DNE,-1,Finney County,38001,Holcomb,2582,67851,3271,KS
Wiley Elem,Holcomb,DNE,-1,Finney County,38001,Holcomb,2582,67851,3271,KS
Bucklin Elem,Bucklin,DNE,-1,Ford County,34133,Bucklin,627,67834,866,KS
Bucklin High,Bucklin,DNE,-1,Ford County,34133,Bucklin,627,67834,866,KS
Beeson Elementary,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Central Elem,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Comanche Middle School,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
DNE,DNE,Dodge City Community College,2,Ford County,34133,Dodge City,27652,DNE,-1,KS
Dodge City High School,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Dodge City Middle School,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Linn Elementary,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Miller Elem,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Northwest Elem,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Ross Elementary School,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Soule Elementary School,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Sunnyside Elem,Dodge City,DNE,-1,Ford County,34133,Dodge City,27652,67801,30993,KS
Spearville Elem,Spearville,DNE,-1,Ford County,34133,Spearville,1054,67876,1588,KS
Spearville Jr/Sr High,Spearville,DNE,-1,Ford County,34133,Spearville,1054,67876,1588,KS
DNE,DNE,Ottawa University-Ottawa,1,Franklin County,25994,Ottawa,12632,DNE,-1,KS
Garfield Elem,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Lincoln Elem,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Ottawa Middle School,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Ottawa Sr High,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Ottawa Virtual School,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Sunflower Elementary School,Ottawa,DNE,-1,Franklin County,25994,Ottawa,12632,66067,16146,KS
Appanoose Elementary School,West Franklin,DNE,-1,Franklin County,25994,Pomona,1210,66076,2231,KS
West Franklin High School,West Franklin,DNE,-1,Franklin County,25994,Pomona,1210,66076,2231,KS
West Franklin Middle School,West Franklin,DNE,-1,Franklin County,25994,Pomona,1210,66076,2231,KS
Central Heights Elem,Central Heights,DNE,-1,Franklin County,25994,Richmond,504,66080,928,KS
Central Heights High,Central Heights,DNE,-1,Franklin County,25994,Richmond,504,66080,928,KS
Wellsville Elem,Wellsville,DNE,-1,Franklin County,25994,Wellsville,2003,66092,4211,KS
Wellsville High,Wellsville,DNE,-1,Franklin County,25994,Wellsville,2003,66092,4211,KS
Wellsville Middle School,Wellsville,DNE,-1,Franklin County,25994,Wellsville,2003,66092,4211,KS
Williamsburg Elementary School,West Franklin,DNE,-1,Franklin County,25994,Williamsburg,383,66095,1024,KS
Fort Riley Elem,Geary County Schools,DNE,-1,Geary County,35895,Fort Riley,-1,66442,16876,KS
Fort Riley Middle School,Geary County Schools,DNE,-1,Geary County,35895,Fort Riley,-1,66442,16876,KS
Ware Elem,Geary County Schools,DNE,-1,Geary County,35895,Fort Riley,-1,66442,16876,KS
LTG Richard J. Seitz Elementary,Geary County Schools,DNE,-1,Geary County,35895,Ft. Riley,-1,66641,-1,KS
Eisenhower Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Grandview Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Junction City Middle School,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Junction City Sr High,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Lincoln Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Sheridan Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Spring Valley Elementary,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Washington Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Westwood Elem,Geary County Schools,DNE,-1,Geary County,35895,Junction City,22431,66441,25654,KS
Milford Elem,Geary County Schools,DNE,-1,Geary County,35895,Milford,307,66514,1658,KS
Wheatland Elementary School,Wheatland,DNE,-1,Gove County,2796,Grainfield,243,67737,462,KS
Wheatland High School,Wheatland,DNE,-1,Gove County,2796,Grainfield,243,67737,462,KS
Grinnell Grade School,Grinnell Public Schools,DNE,-1,Gove County,2796,Grinnell,376,67738,614,KS
Grinnell Middle School,Grinnell Public Schools,DNE,-1,Gove County,2796,Grinnell,376,67738,614,KS
Quinter Elem,Quinter Public Schools,DNE,-1,Gove County,2796,Quinter,951,67752,1603,KS
Quinter Jr-Sr High,Quinter Public Schools,DNE,-1,Gove County,2796,Quinter,951,67752,1603,KS
Hill City Elem,Graham County,DNE,-1,Graham County,2406,Hill City,1536,67642,1779,KS
Hill City Junior-Senior High,Graham County,DNE,-1,Graham County,2406,Hill City,1536,67642,1779,KS
Hickok Elem,Ulysses,DNE,-1,Grant County,7284,Ulysses,5812,67880,7316,KS
Kepley Middle School,Ulysses,DNE,-1,Grant County,7284,Ulysses,5812,67880,7316,KS
Sullivan Elem,Ulysses,DNE,-1,Grant County,7284,Ulysses,5812,67880,7316,KS
Ulysses Community Learning Center (UCLC),Ulysses,DNE,-1,Grant County,7284,Ulysses,5812,67880,7316,KS
Ulysses High,Ulysses,DNE,-1,Grant County,7284,Ulysses,5812,67880,7316,KS
Cimarron Elem,Cimarron-Ensign,DNE,-1,Gray County,5696,Cimarron,1942,67835,2660,KS
Cimarron High,Cimarron-Ensign,DNE,-1,Gray County,5696,Cimarron,1942,67835,2660,KS
Copeland Elem,Copeland,DNE,-1,Gray County,5696,Copeland,350,67837,957,KS
South Gray Jr High,Copeland,DNE,-1,Gray County,5696,Copeland,350,67837,957,KS
Ingalls Elem,Ingalls,DNE,-1,Gray County,5696,Ingalls,305,67853,885,KS
Ingalls High School/Junior High,Ingalls,DNE,-1,Gray County,5696,Ingalls,305,67853,885,KS
Montezuma Elem,Montezuma,DNE,-1,Gray County,5696,Montezuma,878,67867,1566,KS
South Gray High,Montezuma,DNE,-1,Gray County,5696,Montezuma,878,67867,1566,KS
Greeley County Elem School,Greeley County Schools,DNE,-1,Greeley County,1296,Tribune,799,67879,1293,KS
Greeley County Jr./Sr. High,Greeley County Schools,DNE,-1,Greeley County,1296,Tribune,799,67879,1293,KS
Eureka Jr/Sr High,Eureka,DNE,-1,Greenwood County,5956,Eureka,2271,67045,3119,KS
Marshall Elementary School,Eureka,DNE,-1,Greenwood County,5956,Eureka,2271,67045,3119,KS
Hamilton Elem,Hamilton,DNE,-1,Greenwood County,5956,Hamilton,205,66853,318,KS
Hamilton High,Hamilton,DNE,-1,Greenwood County,5956,Hamilton,205,66853,318,KS
Madison Elem,Madison-Virgil,DNE,-1,Greenwood County,5956,Madison,943,66860,1391,KS
Madison High,Madison-Virgil,DNE,-1,Greenwood County,5956,Madison,943,66860,1391,KS
Syracuse Elem,Syracuse,DNE,-1,Hamilton County,2485,Syracuse,1706,67878,2341,KS
Syracuse High,Syracuse,DNE,-1,Hamilton County,2485,Syracuse,1706,67878,2341,KS
Anthony Elem,Chaparral Schools,DNE,-1,Harper County,5446,Anthony,2228,67003,2529,KS
Chaparral Jr/Sr High,Chaparral Schools,DNE,-1,Harper County,5446,Anthony,2228,67003,2529,KS
Chaparral Virtual School,Chaparral Schools,DNE,-1,Harper County,5446,Anthony,2228,67003,2529,KS
Attica High,Attica,DNE,-1,Harper County,5446,Attica,529,67009,754,KS
Puls Elem,Attica,DNE,-1,Harper County,5446,Attica,529,67009,754,KS
Harper Elem,Chaparral Schools,DNE,-1,Harper County,5446,Harper,1191,67058,1893,KS
Burrton Elem,Burrton,DNE,-1,Harvey County,33823,Burrton,874,67020,1440,KS
Burrton MS/HS,Burrton,DNE,-1,Harvey County,33823,Burrton,874,67020,1440,KS
Halstead High,Halstead,DNE,-1,Harvey County,33823,Halstead,2435,67056,2988,KS
Halstead Middle School,Halstead,DNE,-1,Harvey County,33823,Halstead,2435,67056,2988,KS
DNE,DNE,Hesston College,1,Harvey County,33823,Hesston,3747,DNE,-1,KS
Hesston Elem,Hesston,DNE,-1,Harvey County,33823,Hesston,3747,67062,4005,KS
Hesston High,Hesston,DNE,-1,Harvey County,33823,Hesston,3747,67062,4005,KS
Hesston Middle,Hesston,DNE,-1,Harvey County,33823,Hesston,3747,67062,4005,KS
Chisholm Middle School,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Newton Sr High,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Northridge Elementary,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Opportunity Academy,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Santa Fe 5/6 Center,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Slate Creek Elementary,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
South Breeze Elementary,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
Sunset Elementary,Newton,DNE,-1,Harvey County,33823,Newton,18443,67114,21102,KS
DNE,DNE,Bethel College-North Newton,1,Harvey County,33823,North Newton,2150,DNE,-1,KS
R L Wright Elem,Sedgwick Public Schools,DNE,-1,Harvey County,33823,Sedgwick,1702,67135,3550,KS
Sedgwick High,Sedgwick Public Schools,DNE,-1,Harvey County,33823,Sedgwick,1702,67135,3550,KS
Satanta Elem,Satanta,DNE,-1,Haskell County,3695,Satanta,852,67870,1425,KS
Satanta Jr-Sr High,Satanta,DNE,-1,Haskell County,3695,Satanta,852,67870,1425,KS
Sublette Elem,Sublette,DNE,-1,Haskell County,3695,Sublette,1397,67877,2287,KS
Sublette High,Sublette,DNE,-1,Haskell County,3695,Sublette,1397,67877,2287,KS
Sublette Middle,Sublette,DNE,-1,Haskell County,3695,Sublette,1397,67877,2287,KS
Hodgeman County Elementary,Hodgeman County,DNE,-1,Hodgeman County,1676,Jetmore,678,67854,1028,KS
Hodgeman County High,Hodgeman County,DNE,-1,Hodgeman County,1676,Jetmore,678,67854,1028,KS
Fresh Start (Virtual),Holton,DNE,-1,Jackson County,13277,HOLTON,-1,66436,5666,KS
Holton Elementary School,Holton,DNE,-1,Jackson County,13277,Holton,3384,66436,5666,KS
Holton High,Holton,DNE,-1,Jackson County,13277,Holton,3384,66436,5666,KS
Holton Middle,Holton,DNE,-1,Jackson County,13277,Holton,3384,66436,5666,KS
Jackson Heights Elementary School,North Jackson,DNE,-1,Jackson County,13277,Holton,3384,66436,5666,KS
Jackson Heights High School and Middle School,North Jackson,DNE,-1,Jackson County,13277,Holton,3384,66436,5666,KS
Royal Valley Elementary,Royal Valley,DNE,-1,Jackson County,13277,Hoyt,759,66440,1924,KS
Royal Valley High,Royal Valley,DNE,-1,Jackson County,13277,Hoyt,759,66440,1924,KS
Royal Valley Middle School,Royal Valley,DNE,-1,Jackson County,13277,Mayetta,347,66509,2426,KS
Rocket Online Schools (ROCS),Jefferson West,DNE,-1,Jefferson County,18391,Blue Rapids,918,66411,1195,KS
McLouth Elem,McLouth,DNE,-1,Jefferson County,18391,McLouth,891,66054,2653,KS
McLouth High,McLouth,DNE,-1,Jefferson County,18391,McLouth,891,66054,2653,KS
McLouth Middle,McLouth,DNE,-1,Jefferson County,18391,McLouth,891,66054,2653,KS
Jefferson West Elementary School,Jefferson West,DNE,-1,Jefferson County,18391,Meriden,798,66512,3476,KS
Jefferson West High,Jefferson West,DNE,-1,Jefferson County,18391,Meriden,798,66512,3476,KS
Jefferson West Middle,Jefferson West,DNE,-1,Jefferson County,18391,Meriden,798,66512,3476,KS
Jefferson County North Elem/Middle,Jefferson County North,DNE,-1,Jefferson County,18391,Nortonville,797,66060,1255,KS
Oskaloosa Elem,Oskaloosa Public Schools,DNE,-1,Jefferson County,18391,Oskaloosa,1172,66066,2750,KS
Oskaloosa JR-SR High School,Oskaloosa Public Schools,DNE,-1,Jefferson County,18391,Oskaloosa,1172,66066,2750,KS
Perry Lecompton High,Perry Public Schools,DNE,-1,Jefferson County,18391,Perry,1085,66073,2381,KS
Perry-Lecompton Middle,Perry Public Schools,DNE,-1,Jefferson County,18391,Perry,1085,66073,2381,KS
Valley Falls Elem,Valley Falls,DNE,-1,Jefferson County,18391,Valley Falls,1305,66088,2723,KS
Valley Falls High,Valley Falls,DNE,-1,Jefferson County,18391,Valley Falls,1305,66088,2723,KS
Jefferson Co North High,Jefferson County North,DNE,-1,Jefferson County,18391,Winchester,341,66097,939,KS
Rock Hills Elementary School,Rock Hills,DNE,-1,Jewell County,2909,Mankato,801,66956,1190,KS
Rock Hills Jr/Sr High School,Rock Hills,DNE,-1,Jewell County,2909,Mankato,801,66956,1190,KS
De Soto High School,De Soto,DNE,-1,Johnson County,614764,De Soto,6333,66018,6537,KS
Lexington Trails Middle School,De Soto,DNE,-1,Johnson County,614764,De Soto,6333,66018,6537,KS
Starside Elem,De Soto,DNE,-1,Johnson County,614764,De Soto,6333,66018,6537,KS
Virtual Education Program,De Soto,DNE,-1,Johnson County,614764,De Soto,6333,66018,6537,KS
Edgerton Elem,Gardner Edgerton,DNE,-1,Johnson County,614764,Edgerton,1787,66021,2792,KS
Gardner Edgerton High,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Gardner Elem,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Grand Star Elementary,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Madison Elementary,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Moonlight Elementary School,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Nike Elementary,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Pioneer Ridge Middle School,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Sunflower Elementary,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Trail Ridge Middle School,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Wheatridge Middle School,Gardner Edgerton,DNE,-1,Johnson County,614764,Gardner,24020,66030,25964,KS
Brookwood Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Leawood,33844,66206,12030,KS
DNE,DNE,Saint Paul School of Theology,1,Johnson County,614764,Leawood,33844,DNE,-1,KS
Leawood Elementary,Blue Valley,DNE,-1,Johnson County,614764,Leawood,33844,66209,20201,KS
Leawood Middle,Blue Valley,DNE,-1,Johnson County,614764,Leawood,33844,66209,20201,KS
Mission Trail Elementary,Blue Valley,DNE,-1,Johnson County,614764,Leawood,33844,66209,20201,KS
Prairie Star Elementary,Blue Valley,DNE,-1,Johnson County,614764,Leawood,33844,66224,12184,KS
Prairie Star Middle,Blue Valley,DNE,-1,Johnson County,614764,Leawood,33844,66224,12184,KS
Canyon Creek Elementary,Olathe,DNE,-1,Johnson County,614764,Lenexa,57986,66227,8897,KS
Christa McAuliffe Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Lenexa,57986,66219,13410,KS
Lenexa Hills Elementary,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Lenexa,57986,66219,13410,KS
Manchester Park Elementary,Olathe,DNE,-1,Johnson County,614764,Lenexa,57986,66220,8166,KS
Mill Creek Middle School,De Soto,DNE,-1,Johnson County,614764,Lenexa,57986,66227,8897,KS
Rising Star Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Lenexa,57986,66215,26291,KS
Rosehill Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Lenexa,57986,66215,26291,KS
Sunflower Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Lenexa,57986,66219,13410,KS
Crestview Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Merriam,11036,66202,17321,KS
Merriam Park Elementary,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Merriam,11036,66203,19195,KS
Highlands Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Mission,9928,66205,13728,KS
Rushton Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Mission,9928,66202,17321,KS
Arbor Creek Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Black Bob Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Briarwood Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Brougham Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
California Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Cedar Creek Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Central Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Chisholm Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Clearwater Creek Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Countryside Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
DNE,DNE,MidAmerica Nazarene University,1,Johnson County,614764,Olathe,143720,DNE,-1,KS
Fairview Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Forest View Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66063,-1,KS
Frontier Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Green Springs Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Havencroft Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Heatherstone Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Heritage Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Indian Creek Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Indian Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Liberty View Elementary,Blue Valley,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Madison Place Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Mahaffie Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Meadow Lane Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Millbrooke Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Mission Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Northview Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Olathe East Sr High,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Olathe North Sr High,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Olathe Northwest High School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Olathe South Sr High,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Olathe West High School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Oregon Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Pioneer Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Prairie Center Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Prairie Creek Elementary,Spring Hill,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Prairie Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Ravenwood Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Regency Place Elementary,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Ridgeview Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Rolling Ridge Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Santa Fe Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Scarborough Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
School for Deaf Elementary,School for Deaf,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
School for Deaf High,School for Deaf,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Step Up Virtual,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Summit Trail Middle School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Sunnyside Elementary School,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Timber Sage Elementary School,Spring Hill,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Tomahawk Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Walnut Grove Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Washington Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Westview Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Woodland Elem,Olathe,DNE,-1,Johnson County,614764,Olathe,143720,66061,67510,KS
Woodland Spring Middle School,Spring Hill,DNE,-1,Johnson County,614764,Olathe,143720,66062,77794,KS
Apache Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66214,12261,KS
Aspen Grove Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66223,25050,KS
Aubry Bend Middle School,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66221,24835,KS
Bentwood Elem,Olathe,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Blue River Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66085,11412,KS
Blue Valley Middle,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66085,11412,KS
Blue Valley North High,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66209,20201,KS
Blue Valley Northwest High,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
Blue Valley Southwest High School,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66062,77794,KS
Blue Valley Virtual Program,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66223,25050,KS
Blue Valley West High,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66085,11412,KS
Brookridge Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66212,32804,KS
Cedar Hills Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66085,11412,KS
Comanche Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66204,18557,KS
Cottonwood Point Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66213,30024,KS
DNE,DNE,Cleveland University-Kansas City,1,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Johnson County Community College,2,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Kansas Christian College,1,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Mitsu Sato Hair Academy,3,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Ottawa University-Kansas City,1,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Ottawa University-Online,1,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Paul Mitchell the School-Overland Park,3,Johnson County,614764,Overland Park,197199,DNE,-1,KS
DNE,DNE,Z Hair Academy,3,Johnson County,614764,Overland Park,197199,DNE,-1,KS
East Antioch Elem,Shawnee Mission Pub Sch,DNE,-1,Johnson County,614764,Overland Park,197199,66204,18557,KS
Harmony Elementary,Blue Valley,DNE,-1,Johnson County,614764,Overland Park,197199,66221,24835,KS
