School_Name,District,College_Name,College_Type,County_Name,County_Population,City,City_Population,ZIP,Zip_Population,State
DNE,DNE,Heartland Welding Academy,3,Butler County,67916,Andover,15508,DNE,-1,KS
DNE,DNE,Sami Halaseh Institute,3,Butler County,67916,Andover,15508,DNE,-1,KS
Prairie Creek Elementary,Andover,DNE,-1,Butler County,67916,Andover,15508,67002,16753,KS
Sunflower Elementary School,Andover,DNE,-1,Butler County,67916,Andover,15508,67002,16753,KS
Augusta Middle School,Augusta,DNE,-1,Butler County,67916,Augusta,9252,67010,13576,KS
Augusta Sr High,Augusta,DNE,-1,Butler County,67916,Augusta,9252,67010,13576,KS
Ewalt Elementary,Augusta,DNE,-1,Butler County,67916,Augusta,9252,67010,13576,KS
Garfield Elem,Augusta,DNE,-1,Butler County,67916,Augusta,9252,67010,13576,KS
Lincoln Elem,Augusta,DNE,-1,Butler County,67916,Augusta,9252,67010,13576,KS
Circle Benton Elementary,Circle,DNE,-1,Butler County,67916,Benton,896,67017,2058,KS
Circle Middle School,Circle,DNE,-1,Butler County,67916,Benton,896,67017,2058,KS
Flinthills Primary School,Flinthills,DNE,-1,Butler County,67916,Cassoday,129,66842,432,KS
Douglass High,Douglass Public Schools,DNE,-1,Butler County,67916,Douglass,1523,67039,2936,KS
Leonard C Seal Elem,Douglass Public Schools,DNE,-1,Butler County,67916,Douglass,1523,67039,2936,KS
Marvin Sisk Middle School,Douglass Public Schools,DNE,-1,Butler County,67916,Douglass,1523,67039,2936,KS
Blackmore Elementary,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
Circle Oil Hill Elementary,Circle,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
DNE,DNE,Butler Community College,2,Butler County,67916,El Dorado,12882,DNE,-1,KS
El Dorado High,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
El Dorado Middle,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
El Dorado Virtual School,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
Grandview Elem,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
Skelly Elementary School,El Dorado,DNE,-1,Butler County,67916,El Dorado,12882,67042,17486,KS
Bluestem Elementary School,Bluestem,DNE,-1,Butler County,67916,Leon,519,67074,1309,KS
Bluestem Jr/Sr High,Bluestem,DNE,-1,Butler County,67916,Leon,519,67074,1309,KS
Remington Elementary at Potwin,Remington-Whitewater,DNE,-1,Butler County,67916,Potwin,562,67123,783,KS
Flinthills High School,Flinthills,DNE,-1,Butler County,67916,Rosalia,-1,67132,367,KS
Flinthills Intermediate School,Flinthills,DNE,-1,Butler County,67916,Rosalia,-1,67132,367,KS
Flinthills Middle School,Flinthills,DNE,-1,Butler County,67916,Rosalia,-1,67132,367,KS
Rose Hill High,Rose Hill Public Schools,DNE,-1,Butler County,67916,Rose Hill,4353,67133,7052,KS
Rose Hill Intermediate,Rose Hill Public Schools,DNE,-1,Butler County,67916,Rose Hill,4353,67133,7052,KS
Rose Hill Middle,Rose Hill Public Schools,DNE,-1,Butler County,67916,Rose Hill,4353,67133,7052,KS
Rose Hill Primary,Rose Hill Public Schools,DNE,-1,Butler County,67916,Rose Hill,4353,67133,7052,KS
Circle High,Circle,DNE,-1,Butler County,67916,Towanda,1748,67144,2775,KS
Circle Towanda Elementary,Circle,DNE,-1,Butler County,67916,Towanda,1748,67144,2775,KS
Frederic Remington High,Remington-Whitewater,DNE,-1,Butler County,67916,Whitewater,900,67154,1561,KS
Remington Middle School,Remington-Whitewater,DNE,-1,Butler County,67916,Whitewater,900,67154,1561,KS
Meadowlark Elementary,Andover,DNE,-1,Butler County,67916,Wichita,396488,67230,11822,KS
Robert M. Martin Elementary,Andover,DNE,-1,Butler County,67916,Wichita,396488,67228,2529,KS
Chase County Junior Senior High School,Chase County,DNE,-1,Chase County,2579,Cottonwood Falls,944,66845,1136,KS
Chase County Elementary School,Chase County,DNE,-1,Chase County,2579,Strong City,492,66869,599,KS
Cedar Vale Elem,Cedar Vale,DNE,-1,Chautauqua County,3370,Cedar Vale,618,67024,928,KS
Cedar Vale High,Cedar Vale,DNE,-1,Chautauqua County,3370,Cedar Vale,618,67024,928,KS
Sedan Elem,Chautauqua Co Community,DNE,-1,Chautauqua County,3370,Sedan,1066,67361,1797,KS
Sedan High,Chautauqua Co Community,DNE,-1,Chautauqua County,3370,Sedan,1066,67361,1797,KS
Baxter Springs High,Baxter Springs,DNE,-1,Cherokee County,19236,Baxter Springs,3863,66713,5560,KS
Central Elem,Baxter Springs,DNE,-1,Cherokee County,19236,Baxter Springs,3863,66713,5560,KS
Lincoln Elem,Baxter Springs,DNE,-1,Cherokee County,19236,Baxter Springs,3863,66713,5560,KS
USD 508 eAcademy,Baxter Springs,DNE,-1,Cherokee County,19236,Baxter Springs,3863,66713,5560,KS
Central Elem,Columbus,DNE,-1,Cherokee County,19236,Columbus,2902,66725,5102,KS
Columbus Junior High and High School,Columbus,DNE,-1,Cherokee County,19236,Columbus,2902,66725,5102,KS
Highland Elem,Columbus,DNE,-1,Cherokee County,19236,Columbus,2902,66725,5102,KS
Park Elem,Columbus,DNE,-1,Cherokee County,19236,Columbus,2902,66725,5102,KS
Galena High,Galena,DNE,-1,Cherokee County,19236,Galena,2752,66739,5240,KS
Galena Middle School,Galena,DNE,-1,Cherokee County,19236,Galena,2752,66739,5240,KS
Liberty Elem,Galena,DNE,-1,Cherokee County,19236,Galena,2752,66739,5240,KS
Spring Grove Primary Center,Galena,DNE,-1,Cherokee County,19236,Galena,2752,66739,5240,KS
Riverton Elem,Riverton,DNE,-1,Cherokee County,19236,Riverton,-1,66770,860,KS
