County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Decatur County,Oberlin,67749,2746,1763,2152,1,0,1,0,0,0,0,0
Dickinson County,Abilene,67410,18423,6449,10177,3,1,1,1,0,0,0,0
Dickinson County,Chapman,67431,18423,1244,1963,3,1,1,0,0,0,0,0
Dickinson County,Enterprise,67441,18423,831,1041,1,0,0,0,0,0,0,0
Dickinson County,Herington,67449,18423,2105,2756,1,1,1,0,0,0,0,0
Dickinson County,Hope,67451,18423,463,915,1,0,1,0,0,0,0,0
Dickinson County,Solomon,67480,18423,945,1535,1,0,1,0,0,0,0,0
Doniphan County,Denton,66017,7492,129,224,1,0,0,0,0,0,0,0
Doniphan County,Elwood,66024,7492,1169,684,1,0,0,0,1,0,0,0
Doniphan County,Highland,66035,7492,1047,1388,0,0,1,0,0,0,1,0
Doniphan County,Highland,DNE,7492,1047,-1,0,0,0,0,1,0,1,0
Doniphan County,Troy,66087,7492,794,2035,1,0,1,0,0,0,0,0
Doniphan County,Wathena,66090,7492,1463,2513,0,1,1,1,0,0,0,0
Douglas County,Baldwin City,66006,119547,4881,7843,2,1,1,0,0,1,0,0
Douglas County,Baldwin City,DNE,119547,4881,-1,0,0,0,0,1,1,0,0
Douglas County,Eudora,66025,119547,6036,7858,1,1,1,1,0,0,0,0
Douglas County,Lawerence,66049,119547,-1,31351,1,0,0,0,0,0,0,0
Douglas County,Lawrence,66044,119547,95459,29052,4,0,0,1,1,2,1,0
Douglas County,Lawrence,66046,119547,95459,19972,2,1,1,0,0,2,1,0
Douglas County,Lawrence,66047,119547,95459,20344,1,1,0,0,0,2,1,0
Douglas County,Lawrence,66049,119547,95459,31351,3,1,1,0,0,2,1,0
Douglas County,Lawrence,DNE,119547,95459,-1,0,0,0,0,1,2,1,0
Douglas County,Lecompton,66050,119547,762,1777,1,0,0,0,0,0,0,0
Edwards County,Kinsley,67547,2817,1342,1658,0,0,1,0,0,0,0,0
Edwards County,Lewis,67552,2817,477,683,1,0,0,0,0,0,0,0
Edwards County,Offerle,67563,2817,186,378,1,0,0,0,0,0,0,0
Elk County,Howard,67349,2464,553,764,0,0,0,1,1,0,0,0
Elk County,Longton,67352,2464,286,475,1,0,1,0,0,0,0,0
Ellis County,Ellis,67637,28870,2145,2809,1,0,1,0,0,0,0,0
Ellis County,Hays,67601,28870,21078,24279,4,1,1,1,0,1,0,1
Ellis County,Hays,DNE,28870,21078,-1,0,0,0,0,1,1,0,1
Ellis County,Victoria,67671,28870,994,1369,1,0,1,0,0,0,0,0
Ellsworth County,Ellsworth,67439,6366,3098,3412,1,0,1,0,0,0,0,0
Ellsworth County,Holyrood,67450,6366,381,468,1,0,0,0,0,0,0,0
Ellsworth County,Kanopolis,67454,6366,567,640,0,1,0,0,0,0,0,0
Ellsworth County,Wilson,67490,6366,824,991,1,0,0,0,0,0,0,0
Finney County,Garden City,67846,38001,27781,34276,11,2,1,1,3,0,1,0
Finney County,Garden City,DNE,38001,27781,-1,0,0,0,0,1,0,1,0
Finney County,Holcomb,67851,38001,2582,3271,2,1,1,1,0,0,0,0
Ford County,Bucklin,67834,34133,627,866,1,0,1,0,0,0,0,0
Ford County,Dodge City,67801,34133,27652,30993,8,2,1,0,0,0,1,0
Ford County,Dodge City,DNE,34133,27652,-1,0,0,0,0,1,0,1,0
Ford County,Spearville,67876,34133,1054,1588,1,0,1,0,0,0,0,0
Franklin County,Ottawa,66067,25994,12632,16146,3,1,1,1,0,1,0,0
Franklin County,Ottawa,DNE,25994,12632,-1,0,0,0,0,1,1,0,0
Franklin County,Pomona,66076,25994,1210,2231,1,1,1,0,0,0,0,0
Franklin County,Richmond,66080,25994,504,928,1,0,1,0,0,0,0,0
Franklin County,Wellsville,66092,25994,2003,4211,1,1,1,0,0,0,0,0
Franklin County,Williamsburg,66095,25994,383,1024,1,0,0,0,0,0,0,0
Geary County,Fort Riley,66442,35895,-1,16876,2,1,0,0,0,0,0,0
Geary County,Ft. Riley,66641,35895,-1,-1,1,0,0,0,0,0,0,0
Geary County,Junction City,66441,35895,22431,25654,7,1,1,0,0,0,0,0
Geary County,Milford,66514,35895,307,1658,1,0,0,0,0,0,0,0
Gove County,Grainfield,67737,2796,243,462,1,0,1,0,0,0,0,0
Gove County,Grinnell,67738,2796,376,614,1,1,0,0,0,0,0,0
Gove County,Quinter,67752,2796,951,1603,1,0,1,0,0,0,0,0
Graham County,Hill City,67642,2406,1536,1779,1,0,1,0,0,0,0,0
Grant County,Ulysses,67880,7284,5812,7316,2,1,1,0,1,0,0,0
Gray County,Cimarron,67835,5696,1942,2660,1,0,1,0,0,0,0,0
Gray County,Copeland,67837,5696,350,957,1,1,0,0,0,0,0,0
Gray County,Ingalls,67853,5696,305,885,1,0,1,0,0,0,0,0
Gray County,Montezuma,67867,5696,878,1566,1,0,1,0,0,0,0,0
Greeley County,Tribune,67879,1296,799,1293,1,0,1,0,0,0,0,0
Greenwood County,Eureka,67045,5956,2271,3119,1,0,1,0,0,0,0,0
Greenwood County,Hamilton,66853,5956,205,318,1,0,1,0,0,0,0,0
Greenwood County,Madison,66860,5956,943,1391,1,0,1,0,0,0,0,0
Hamilton County,Syracuse,67878,2485,1706,2341,1,0,1,0,0,0,0,0
Harper County,Anthony,67003,5446,2228,2529,1,0,1,1,0,0,0,0
Harper County,Attica,67009,5446,529,754,1,0,1,0,0,0,0,0
Harper County,Harper,67058,5446,1191,1893,1,0,0,0,0,0,0,0
Harvey County,Burrton,67020,33823,874,1440,1,0,1,0,0,0,0,0
Harvey County,Halstead,67056,33823,2435,2988,0,1,1,0,0,0,0,0
Harvey County,Hesston,67062,33823,3747,4005,1,1,1,0,0,1,0,0
Harvey County,Hesston,DNE,33823,3747,-1,0,0,0,0,1,1,0,0
Harvey County,Newton,67114,33823,18443,21102,4,1,1,1,1,0,0,0
Harvey County,North Newton,DNE,33823,2150,-1,0,0,0,0,1,1,0,0
Harvey County,Sedgwick,67135,33823,1702,3550,1,0,1,0,0,0,0,0
Haskell County,Satanta,67870,3695,852,1425,1,0,1,0,0,0,0,0
Haskell County,Sublette,67877,3695,1397,2287,1,1,1,0,0,0,0,0
Hodgeman County,Jetmore,67854,1676,678,1028,1,0,1,0,0,0,0,0
Jackson County,HOLTON,66436,13277,-1,5666,0,0,0,1,0,0,0,0
Jackson County,Holton,66436,13277,3384,5666,2,1,2,0,0,0,0,0
Jackson County,Hoyt,66440,13277,759,1924,1,0,1,0,0,0,0,0
Jackson County,Mayetta,66509,13277,347,2426,0,1,0,0,0,0,0,0
Jefferson County,Blue Rapids,66411,18391,918,1195,0,0,0,1,0,0,0,0
Jefferson County,McLouth,66054,18391,891,2653,1,1,1,0,0,0,0,0
Jefferson County,Meriden,66512,18391,798,3476,1,1,1,0,0,0,0,0
Jefferson County,Nortonville,66060,18391,797,1255,0,1,0,0,0,0,0,0
Jefferson County,Oskaloosa,66066,18391,1172,2750,1,0,1,0,0,0,0,0
Jefferson County,Perry,66073,18391,1085,2381,0,1,1,0,0,0,0,0
Jefferson County,Valley Falls,66088,18391,1305,2723,1,0,1,0,0,0,0,0
Jefferson County,Winchester,66097,18391,341,939,0,0,1,0,0,0,0,0
Jewell County,Mankato,66956,2909,801,1190,1,0,1,0,0,0,0,0
Johnson County,De Soto,66018,614764,6333,6537,1,1,1,1,0,0,0,0
Johnson County,Edgerton,66021,614764,1787,2792,1,0,0,0,0,0,0,0
Johnson County,Gardner,66030,614764,24020,25964,6,3,1,0,0,0,0,0
Johnson County,Leawood,66206,614764,33844,12030,1,0,0,0,0,1,0,0
Johnson County,Leawood,66209,614764,33844,20201,2,1,0,0,0,1,0,0
Johnson County,Leawood,66224,614764,33844,12184,1,1,0,0,0,1,0,0
Johnson County,Leawood,DNE,614764,33844,-1,0,0,0,0,1,1,0,0
Johnson County,Lenexa,66215,614764,57986,26291,2,0,0,0,0,0,0,0
Johnson County,Lenexa,66219,614764,57986,13410,3,0,0,0,0,0,0,0
Johnson County,Lenexa,66220,614764,57986,8166,1,0,0,0,0,0,0,0
Johnson County,Lenexa,66227,614764,57986,8897,1,1,0,0,0,0,0,0
Johnson County,Merriam,66202,614764,11036,17321,1,0,0,0,0,0,0,0
Johnson County,Merriam,66203,614764,11036,19195,1,0,0,0,0,0,0,0
Johnson County,Mission,66202,614764,9928,17321,1,0,0,0,0,0,0,0
Johnson County,Mission,66205,614764,9928,13728,1,0,0,0,0,0,0,0
Johnson County,Olathe,66061,614764,143720,67510,16,5,4,1,0,1,0,0
Johnson County,Olathe,66062,614764,143720,77794,19,6,2,0,0,1,0,0
