County_Name,City,ZIP,County_Population,City_Population,Zip_Population,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Or_Above_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges
Ottawa County,Tescott,67484,5782,261,995,1,0,1,0,0,0,0,0
Pawnee County,Larned,67550,6220,3328,5137,1,1,1,0,0,0,0,0
Pawnee County,Rozel,67574,6220,111,154,1,0,0,0,1,0,0,0
Phillips County,AGRA,67621,4874,-1,322,0,1,0,0,0,0,0,0
Phillips County,Logan,67646,4874,626,704,1,0,1,0,0,0,0,0
Phillips County,Long Island,67647,4874,143,241,0,1,0,0,0,0,0,0
Phillips County,Phillipsburg,67661,4874,2132,2890,1,1,1,0,0,0,0,0
Pottawatomie County,Manhattan,66502,25808,53951,43247,1,0,0,0,0,0,0,0
Pottawatomie County,Olsburg,66520,25808,274,681,1,0,0,0,0,0,0,0
Pottawatomie County,Onaga,66521,25808,680,1444,1,1,1,0,0,0,0,0
Pottawatomie County,St George,66535,25808,-1,3729,1,0,1,0,0,0,0,0
Pottawatomie County,St Marys,66536,25808,-1,4103,1,0,1,0,0,0,0,0
Pottawatomie County,St. George,66535,25808,1115,3729,0,1,0,0,0,0,0,0
Pottawatomie County,Wamego,66547,25808,4205,8387,2,1,1,1,0,0,0,0
Pottawatomie County,Westmoreland,66549,25808,636,1311,1,0,0,0,0,0,0,0
Pratt County,Pratt,67124,9120,6559,7822,2,1,2,0,1,0,1,0
Pratt County,Pratt,DNE,9120,6559,-1,0,0,0,0,1,0,1,0
Rawlins County,Atwood,67730,2533,1388,1828,1,0,1,0,0,0,0,0
Reno County,Buhler,67522,61693,1311,1988,1,0,1,2,0,0,0,0
Reno County,Haven,67543,61693,1394,2029,1,1,1,1,0,0,0,0
Reno County,Hutchinson,67501,61693,39837,24589,3,3,1,2,1,0,1,0
Reno County,Hutchinson,67502,61693,39837,23617,4,1,0,0,0,0,1,0
Reno County,Hutchinson,DNE,61693,39837,-1,0,0,0,0,1,0,1,0
Reno County,Langdon,67583,61693,32,799,0,0,0,0,1,0,0,0
Reno County,Nickerson,67561,61693,1088,1569,1,0,1,0,0,0,0,0
Reno County,Pretty Prairie,67570,61693,553,1452,1,1,1,0,0,0,0,0
Reno County,South Hutchinson,67505,61693,2826,2836,1,0,0,0,0,0,0,0
Reno County,Yoder,67585,61693,-1,-1,1,0,0,0,0,0,0,0
Republic County,Belleville,66935,4662,2036,2415,1,0,1,0,0,0,0,0
Republic County,Courtland,66939,4662,191,322,1,0,0,0,0,0,0,0
Republic County,Scandia,66966,4662,305,620,0,1,1,0,0,0,0,0
Rice County,Chase,67524,9389,447,560,1,0,1,0,0,0,0,0
Rice County,Little River,67457,9389,427,655,0,1,1,0,0,0,0,0
Rice County,Lyons,67554,9389,3562,4122,2,1,1,0,0,0,0,0
Rice County,Sterling,67579,9389,2396,2971,1,0,1,0,0,1,0,0
Rice County,Sterling,DNE,9389,2396,-1,0,0,0,0,1,1,0,0
Riley County,Fort Riley,66442,71710,-1,16876,1,0,0,0,0,0,0,0
Riley County,Manhattan,66502,71710,53951,43247,6,2,1,1,0,2,1,1
Riley County,Manhattan,66503,71710,53951,17272,2,0,0,0,0,2,1,1
Riley County,Manhattan,DNE,71710,53951,-1,0,0,0,0,1,2,1,1
Riley County,Ogden,66517,71710,1628,1628,1,0,0,0,0,0,0,0
Riley County,Randolph,66554,71710,182,744,0,1,1,0,0,0,0,0
Riley County,Riley,66531,71710,826,1348,1,0,1,0,0,0,0,0
Rooks County,Damar,67632,4869,150,226,1,0,0,0,0,0,0,0
Rooks County,Palco,67657,4869,214,303,0,1,1,0,0,0,0,0
Rooks County,Plainville,67663,4869,1766,2449,1,0,1,0,0,0,0,0
Rooks County,Stockton,67669,4869,1521,1815,1,0,1,0,0,0,0,0
Rush County,La Crosse,67548,2957,1081,1290,1,1,1,0,0,0,0,0
Rush County,OTIS,67565,2957,-1,469,0,0,0,1,0,0,0,0
Rush County,Otis,67565,2957,434,469,1,0,1,0,0,0,0,0
Russell County,Lucas,67648,6717,449,574,1,0,0,0,0,0,0,0
Russell County,Russell,67665,6717,4258,4893,2,1,1,0,0,0,0,0
Saline County,Brookville,67425,53801,205,593,0,0,1,0,0,0,0,0
Saline County,Gypsum,67448,53801,385,1123,1,0,1,0,0,0,0,0
Saline County,Salina,67401,53801,46432,50272,9,2,2,1,0,1,1,1
Saline County,Salina,DNE,53801,46432,-1,0,0,0,0,1,1,1,1
Scott County,Scott City,67871,5071,3955,5067,1,1,1,0,1,0,0,0
Sedgwick County,Andale,67001,524810,1259,2394,0,1,1,0,0,0,0,0
Sedgwick County,Bel Aire,67220,524810,8654,14779,1,0,0,0,0,0,0,0
Sedgwick County,Bel Aire,67226,524810,8654,21441,0,0,1,0,0,0,0,0
Sedgwick County,Bentley,67016,524810,489,489,1,0,0,0,0,0,0,0
Sedgwick County,Cheney,67025,524810,2386,3943,1,1,1,0,0,0,0,0
Sedgwick County,Clearwater,67026,524810,2536,5068,1,1,1,0,0,0,0,0
Sedgwick County,Colwich,67030,524810,1616,2820,1,0,0,0,1,0,0,0
Sedgwick County,Derby,67037,524810,25801,30108,6,2,1,1,0,0,0,0
Sedgwick County,Garden Plain,67050,524810,1055,2008,1,0,1,0,0,0,0,0
Sedgwick County,Goddard,67052,524810,5361,8610,5,2,2,1,2,0,0,0
Sedgwick County,Haysville,67060,524810,11117,14004,4,2,0,0,0,0,0,0
Sedgwick County,Maize,67101,524810,5990,6110,4,1,1,1,1,0,0,0
Sedgwick County,Mulvane,67110,524810,5829,8222,2,1,1,0,0,0,0,0
Sedgwick County,Park City,67219,524810,7726,12093,1,0,0,0,0,0,0,0
Sedgwick County,Valley Center,67147,524810,8937,11193,3,1,1,0,2,0,0,0
Sedgwick County,Wichita,67202,524810,396488,2102,0,0,0,1,0,4,3,5
Sedgwick County,Wichita,67203,524810,396488,30869,5,1,1,0,0,4,3,5
Sedgwick County,Wichita,67204,524810,396488,22913,5,1,0,0,0,4,3,5
Sedgwick County,Wichita,67205,524810,396488,20600,1,1,1,0,1,4,3,5
Sedgwick County,Wichita,67206,524810,396488,17468,1,1,0,0,1,4,3,5
Sedgwick County,Wichita,67207,524810,396488,27721,4,0,1,0,0,4,3,5
Sedgwick County,Wichita,67208,524810,396488,18078,3,1,0,0,0,4,3,5
Sedgwick County,Wichita,67209,524810,396488,13613,1,0,0,0,0,4,3,5
Sedgwick County,Wichita,67210,524810,396488,9178,2,1,0,0,0,4,3,5
Sedgwick County,Wichita,67211,524810,396488,18691,3,2,1,0,1,4,3,5
Sedgwick County,Wichita,67212,524810,396488,43278,3,2,1,1,2,4,3,5
Sedgwick County,Wichita,67213,524810,396488,20702,4,2,1,0,0,4,3,5
Sedgwick County,Wichita,67214,524810,396488,15553,2,0,1,0,4,4,3,5
Sedgwick County,Wichita,67215,524810,396488,6468,1,0,0,0,0,4,3,5
Sedgwick County,Wichita,67216,524810,396488,22529,4,1,1,0,0,4,3,5
Sedgwick County,Wichita,67217,524810,396488,32529,5,1,2,1,1,4,3,5
Sedgwick County,Wichita,67218,524810,396488,22945,4,1,0,0,0,4,3,5
Sedgwick County,Wichita,67219,524810,396488,12093,0,0,1,1,0,4,3,5
Sedgwick County,Wichita,67220,524810,396488,14779,2,2,0,0,0,4,3,5
Sedgwick County,Wichita,67226,524810,396488,21441,2,0,0,0,0,4,3,5
Sedgwick County,Wichita,67230,524810,396488,11822,1,0,0,1,0,4,3,5
Sedgwick County,Wichita,DNE,524810,396488,-1,0,0,0,0,1,4,3,5
Seward County,Kismet,67859,21640,476,648,1,0,1,0,0,0,0,0
Seward County,Liberal,67905,21640,19107,-1,5,2,1,0,0,0,1,0
Seward County,Liberal,DNE,21640,19107,-1,0,0,0,0,1,0,1,0
Shawnee County,Auburn,66402,178315,1185,3044,1,0,0,0,0,0,0,0
Shawnee County,Berryton,66409,178315,-1,3478,1,0,0,0,0,0,0,0
Shawnee County,Rossville,66533,178315,1183,1609,1,0,1,0,0,0,0,0
Shawnee County,Silver Lake,66539,178315,1549,2723,1,0,1,0,0,0,0,0
Shawnee County,Tecumseh,66542,178315,-1,3039,2,1,1,0,0,0,0,0
Shawnee County,Topeka,66604,178315,126103,22876,4,1,1,1,0,2,0,2
Shawnee County,Topeka,66605,178315,126103,20592,2,1,1,0,1,2,0,2
Shawnee County,Topeka,66606,178315,126103,10177,1,1,0,0,1,2,0,2
Shawnee County,Topeka,66607,178315,126103,9873,0,0,0,0,1,2,0,2
Shawnee County,Topeka,66608,178315,126103,4789,2,0,0,0,0,2,0,2
Shawnee County,Topeka,66609,178315,126103,7912,0,0,0,2,0,2,0,2
Shawnee County,Topeka,66610,178315,126103,9728,1,0,0,0,0,2,0,2
Shawnee County,Topeka,66611,178315,126103,9912,1,1,0,0,0,2,0,2
Shawnee County,Topeka,66612,178315,126103,1994,0,0,1,0,1,2,0,2
Shawnee County,Topeka,66614,178315,126103,32586,4,1,0,0,0,2,0,2
Shawnee County,Topeka,66615,178315,126103,3144,1,0,0,0,0,2,0,2
Shawnee County,Topeka,66616,178315,126103,6065,1,1,0,0,0,2,0,2
Shawnee County,Topeka,66617,178315,126103,8748,1,1,1,0,1,2,0,2
Shawnee County,Topeka,66618,178315,126103,10113,2,0,1,0,0,2,0,2
Shawnee County,Topeka,66619,178315,126103,3069,1,1,1,0,0,2,0,2
Shawnee County,Topeka,DNE,178315,126103,-1,0,0,0,0,1,2,0,2
Shawnee County,Wakarusa,66546,178315,-1,1182,0,0,0,0,1,0,0,0
Sheridan County,Hoxie,67740,2442,1191,1642,1,0,1,0,0,0,0,0
Sheridan County,Selden,67757,2442,287,481,1,0,0,0,0,0,0,0
Sherman County,Goodland,66735,5919,3878,800,0,0,0,0,1,0,1,0
Sherman County,Goodland,67735,5919,3878,5203,2,0,1,1,0,0,1,0
Sherman County,Goodland,DNE,5919,3878,-1,0,0,0,0,1,0,1,0
Smith County,KENSINGTON,66951,3579,-1,826,1,0,1,0,0,0,0,0
Smith County,Smith Center,66967,3579,1585,2003,1,0,1,0,0,0,0,0
Stafford County,Macksville,67557,4004,585,678,1,0,1,0,0,0,0,0
Stafford County,St. John,67576,4004,1247,2010,1,0,1,0,0,0,0,0
Stafford County,Stafford,67578,4004,680,1033,1,0,1,0,0,0,0,0
Stanton County,Johnson,67855,2018,-1,1835,1,0,1,0,0,0,0,0
Stevens County,Hugoton,67951,5212,4065,4610,1,1,1,1,0,0,0,0
Stevens County,Moscow,67952,5212,197,494,1,0,1,0,0,0,0,0
Sumner County,Argonia,67004,22386,573,781,1,0,1,0,0,0,0,0
Sumner County,Belle Plaine,67013,22386,1486,2671,1,1,1,0,0,0,0,0
Sumner County,Caldwell,67022,22386,1091,1579,1,0,0,1,1,0,0,0
Sumner County,Conway Springs,67031,22386,1597,2527,0,1,1,0,1,0,0,0
Sumner County,Oxford,67119,22386,892,1238,1,0,1,1,0,0,0,0
Sumner County,South Haven,67140,22386,327,995,1,0,1,0,0,0,0,0
Sumner County,Wellington,67152,22386,7643,9199,4,1,1,1,0,0,0,0
Thomas County,Brewster,67732,7913,440,698,1,0,1,0,0,0,0,0
Thomas County,Colby,67701,7913,5389,6166,1,1,1,0,0,0,1,0
Thomas County,Colby,DNE,7913,5389,-1,0,0,0,0,1,0,1,0
Thomas County,Rexford,67753,7913,150,422,0,1,1,0,0,0,0,0
Trego County,WaKeeney,67672,2778,1838,2111,1,0,1,0,0,0,0,0
Wabaunsee County,Alma,66401,6961,965,1928,1,0,1,0,0,0,0,0
Wabaunsee County,Alta Vista,66834,6961,484,1030,1,0,0,0,0,0,0,0
Wabaunsee County,Eskridge,66423,6961,388,830,1,0,1,0,0,0,0,0
Wabaunsee County,Paxico,66526,6961,231,818,0,1,0,0,0,0,0,0
Wallace County,Sharon Springs,67758,1459,837,1059,1,0,1,0,0,0,0,0
Wallace County,Weskan,67762,1459,-1,248,1,0,1,0,0,0,0,0
Washington County,Clifton,66937,5519,453,919,1,1,0,0,0,0,0,0
Washington County,Hanover,66945,5519,831,987,1,0,1,0,0,0,0,0
Washington County,Linn,66953,5519,478,611,1,0,1,0,0,0,0,0
Washington County,Washington,66968,5519,1199,1435,1,0,1,0,0,0,0,0
Wichita County,Leoti,67861,2115,1461,2002,0,0,1,0,0,0,0,0
Wichita County,Leoti,67879,2115,1461,1293,1,0,0,0,0,0,0,0
Wilson County,Altoona,66710,8559,409,763,1,0,0,0,0,0,0,0
Wilson County,Buffalo,66717,8559,290,534,0,0,1,0,0,0,0,0
Wilson County,Fredonia,66736,8559,2113,3517,1,0,1,1,1,0,0,0
Wilson County,Neodesha,66757,8559,2311,3225,2,0,1,0,0,0,0,0
Woodson County,Yates Center,66783,3118,1381,2117,1,0,1,0,0,0,0,0
Wyandotte County,Bonner Springs,66012,167277,7735,10301,1,1,1,0,0,0,0,0
Wyandotte County,Edwardsville,66111,167277,4721,10449,1,0,0,0,0,0,0,0
Wyandotte County,Kansas City,66101,167277,154776,12463,3,1,0,1,0,1,1,0
Wyandotte County,Kansas City,66102,167277,154776,30062,8,1,2,0,0,1,1,0
Wyandotte County,Kansas City,66103,167277,154776,12841,3,1,0,0,0,1,1,0
Wyandotte County,Kansas City,66104,167277,154776,26820,6,1,1,1,0,1,1,0
Wyandotte County,Kansas City,66105,167277,154776,2388,1,0,0,0,0,1,1,0
Wyandotte County,Kansas City,66106,167277,154776,23762,6,2,2,1,2,1,1,0
Wyandotte County,Kansas City,66109,167277,154776,27715,4,2,2,1,0,1,1,0
Wyandotte County,Kansas City,66111,167277,154776,10449,0,0,0,0,1,1,1,0
Wyandotte County,Kansas City,66112,167277,154776,12968,1,1,0,0,1,1,1,0
Wyandotte County,Kansas City,66115,167277,154776,0,1,0,0,0,0,1,1,0
Wyandotte County,Kansas City,66612,167277,154776,1994,0,0,0,0,1,1,1,0
Wyandotte County,Kansas City,DNE,167277,154776,-1,0,0,0,0,1,1,1,0
