County_Name,County_Population,County_Latitude,County_Longitude,Elementary_Schools,Middle_Schools,High_Schools,Virtual_Schools,Other_Schools,Four_Year_Colleges,Two_Year_Colleges,Less_Than_Two_Year_Colleges,Four_Year_Colleges_With_DS_AI,Two_Year_Colleges_With_DS_AI,Less_Than_Two_Year_Colleges_With_DS_AI,Online_Impact_Score,Total_Program_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Has_Programs
Doniphan County,7492,39.7885021,-95.1472253,3,1,3,1,2,0,2,0,0,0,0,0.0,0.0,0.82542042859791653,87.9,77.2,10.8,2670,0.0,72833,0.09800148,0.015103338632750398,0.142685531,0.214960788,0.04196933,0.032015066,1.364185111,0
Douglas County,119547,38.8964168,-95.2909475,15,5,4,2,3,12,5,0,1,0,0,0.0,10.3,0.827403023976768,91.5,73.9,3.0,49939,0.0,68756,0.152042047,0.046807716598725381,0.308096397,0.520306827,0.08410258,0.094733989,1.223334315,1
Edwards County,2817,37.8835945,-99.3047457,2,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.79289410317777775,85.3,73.2,12.4,1187,0.0,53792,0.164249456,0.046666666666666669,0.146254881,0.20693119,0.02952603,0.031080031,1.488986784,0
Elk County,2464,37.4560259,-96.2446421,1,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.76319478496666648,84.6,68.1,13.8,1076,0.0,56087,0.16721044,0.034550839091806514,0.149756494,0.205800335,0.024539877,0.047034765,1.311355311,0
Ellis County,28870,38.9145967,-99.3173133,6,1,3,1,1,2,0,2,1,0,0,0.0,3.3000000000000003,0.84285951414166638,92.3,76.3,6.2,12186,0.0,59889,0.177341873,0.031612903225806455,0.236854867,0.395465849,0.039609957,0.066440555,1.214234875,1
Ellsworth County,6366,38.7008451,-98.2053552,3,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.79712602371999985,85.7,73.7,10.9,2329,0.0,66792,0.084514925,0.028571428571428571,0.170750864,0.220576299,0.014338235,0.039705882,1.49244713,0
Finney County,38001,38.0498075,-100.7399674,13,3,2,2,4,0,2,0,0,0,0,0.0,0.0,0.81047339617931069,88.1,74.0,10.2,13198,0.0,72437,0.116912081,0.054128160861175993,0.116891661,0.197352053,0.021956195,0.027914967,1.377262443,0
Ford County,34133,37.6885096,-99.8847435,10,2,3,0,1,0,2,0,0,1,0,0.5,0.5,0.824247233732143,87.6,77.2,10.5,11768,0.41212361686607152,70495,0.14374416,0.046516930794664235,0.12208127,0.207138241,0.02798039,0.031806768,1.341373886,1
Franklin County,25994,38.5580187,-95.2789618,7,3,4,1,1,2,0,0,0,0,0,0.0,0.0,0.81112976853529417,83.9,78.4,13.2,10289,0.0,72142,0.096452109,0.024183006535947713,0.171693468,0.252961514,0.058792885,0.05685793,1.441371016,0
Geary County,35895,39.0021387,-96.7680996,11,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.82250760783333343,93.8,70.7,4.4,13787,0.0,57344,0.192671089,0.059711531275689407,0.133026884,0.243784143,0.034255285,0.05182006,1.194925373,0
