County,Total_Program_Impact_Score,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Advanced_Degree_Rate,Young_Adult_Bachelors_Plus_Rate,STEM_Employment_Rate,Professional_Services_Rate,Low_Income_Digital_Access_Rate,Total_Population
Jefferson County,0.0,77393,0.063160793,0.02360313315926893,0.174541895,0.2456382,0.043213178,0.065140657,1.411648569,18391
Jewell County,0.0,52344,0.128169503,0.004335260115606936,0.142660708,0.188208617,0.021770682,0.057329463,1.481228669,2909
Clark County,0.0,65515,0.09447983,0.02063983488132095,0.216406643,0.309575234,0.010537408,0.055848261,1.492647059,1987
Kearny County,0.0,74135,0.060637742,0.01347557551937114,0.091304348,0.146431501,0.026750142,0.018782015,1.256637168,3910
Kingman County,0.0,59819,0.093758746,0.0371856607811664,0.167353103,0.238272088,0.035565435,0.027507641,1.427991886,7284
Kiowa County,0.0,73214,0.056586691,0.033699059561128529,0.189099917,0.275903614,0.02027575,0.04136253,1.642201835,2422
Labette County,0.0,55439,0.160744675,0.028329219873376971,0.144067372,0.210703812,0.025179459,0.052678078,1.737759893,19949
Lane County,0.0,53042,0.081208054,0.0053120849933598934,0.175684703,0.246254682,0.005340454,0.073431242,1.826923077,1497
Cheyenne County,0.0,55765,0.174131274,0.0178988326848249,0.152968037,0.216129032,0.035657686,0.05229794,1.497991968,2628
Lincoln County,0.0,53546,0.118691263,0.017333333333333333,0.154582763,0.215340638,0.006784261,0.02917232,1.5,2924
Linn County,0.0,59200,0.106811307,0.037370850736425591,0.159827214,0.224858921,0.027860242,0.025576616,1.407635468,9723
Logan County,0.0,71389,0.131921219,0.012388162422573986,0.187867647,0.266562337,0.005574913,0.045296167,1.290178571,2720
Cherokee County,0.0,58274,0.130570057,0.0356120826709062,0.139737991,0.201197605,0.020881416,0.025717112,1.451612903,19236
Chautauqua County,0.0,54592,0.168674699,0.062585969738651992,0.13115727,0.183478622,0.002934703,0.01027146,1.504273504,3370
Chase County,0.0,54518,0.104963385,0.0074503311258278145,0.212485459,0.292735043,0.019182652,0.020016681,1.67804878,2579
Marshall County,0.0,70828,0.093583436,0.018281895026538236,0.130686931,0.188790987,0.030837004,0.03484181,1.384722222,10001
Meade County,0.0,74868,0.066199377,0.011548556430446194,0.146619397,0.227504912,0.038767924,0.038236856,1.467889908,3949
Miami County,0.0,88000,0.066664706,0.0276690888764673,0.219379061,0.321469381,0.053233688,0.089450992,1.487790698,34625
Mitchell County,0.0,58233,0.124733475,0.008771929824561403,0.173573782,0.254319106,0.015486726,0.052359882,1.364,5767
Montgomery County,0.0,53242,0.162820768,0.038711057246738435,0.143370902,0.213075638,0.031592999,0.039750816,1.395631068,31143
Morris County,0.0,56716,0.127711752,0.019886363636363636,0.202487008,0.27315974,0.021014493,0.099637681,1.363957597,5388
Morton County,0.0,65625,0.147788984,0.035836177474402729,0.116358141,0.165858912,0.023893805,0.02300885,1.18487395,2647
Nemaha County,0.0,77375,0.07720291,0.008840864440078585,0.195535102,0.301297526,0.044995045,0.030525273,1.374422188,10213
Neosho County,0.0,55704,0.154048716,0.0463514766256125,0.144893414,0.218061674,0.029856964,0.027496181,1.403326403,15715
Ness County,0.0,66107,0.114065511,0.010238907849829351,0.158706281,0.230098146,0.027586207,0.037931034,1.314917127,2659
Norton County,0.0,50305,0.085285422,0.006369426751592357,0.142433234,0.194282823,0.028599606,0.054240631,1.086440678,5392
Osage County,0.0,70216,0.109988415,0.0253099173553719,0.146451204,0.209976377,0.035771065,0.054848967,1.407550823,15780
Osborne County,0.0,59408,0.124554102,0.016022099447513812,0.166138785,0.23043131,0.028074116,0.026951151,1.324561404,3473
Ottawa County,0.0,76755,0.121153166,0.032356948228882833,0.170183328,0.242723236,0.038366772,0.029567054,1.35770235,5782
Pawnee County,0.0,63625,0.112239247,0.012195121951219513,0.146945338,0.187756779,0.025044092,0.029982363,1.287378641,6220
Phillips County,0.0,61235,0.138429319,0.031746031746031744,0.156339762,0.223263991,0.026140895,0.05006646,1.410199557,4874
Pottawatomie County,0.0,87694,0.07111146,0.019058119388880138,0.233144761,0.365419653,0.055956969,0.066473988,1.238998483,25808
Pratt County,0.0,64348,0.095489782,0.037154508382419571,0.16995614,0.265592872,0.026588235,0.040941176,1.550949914,9120
Rawlins County,0.0,65000,0.100921105,0.011661807580174927,0.125148046,0.172940535,0.036873156,0.054572271,1.264227642,2533
Reno County,0.0,60498,0.124369748,0.039280300533843009,0.141247791,0.205489789,0.033031488,0.042395555,1.472245409,61693
Republic County,0.0,53611,0.145929339,0.010478359908883827,0.178893179,0.253726803,0.051104972,0.063996317,1.815718157,4662
Rice County,0.0,63947,0.073625243,0.033492822966507178,0.157418255,0.242692939,0.042529253,0.047929793,1.574952562,9389
Brown County,0.0,58886,0.142093784,0.053676631027711107,0.125862985,0.183011583,0.034586119,0.035508416,1.390870185,9415
Rooks County,0.0,61596,0.053175457,0.021044111695669769,0.176216882,0.240201568,0.038859033,0.027697396,1.469964664,4869
Rush County,0.0,60288,0.11419646,0.051080550098231828,0.154548529,0.215160075,0.035886818,0.06763285,1.338870432,2957
Russell County,0.0,53902,0.15349335,0.018571428571428572,0.129224356,0.180758017,0.039883552,0.074235808,1.482919255,6717
Bourbon County,0.0,67555,0.11776889,0.038231949971574759,0.159482759,0.243111488,0.025417467,0.040933944,1.296266878,14384
Scott County,0.0,67788,0.08838435,0.011139992573338284,0.226188129,0.333915575,0.033045437,0.054449869,1.905829596,5071
Barton County,0.0,56733,0.147380355,0.032796042132141719,0.147260138,0.216722953,0.020707862,0.044715783,1.354166667,25275
Barber County,0.0,57615,0.176441597,0.02274837511606314,0.18444498,0.271246459,0.001425178,0.019477435,1.417177914,4153
Anderson County,0.0,64925,0.109034268,0.040930754135127555,0.105256427,0.158086823,0.017246419,0.029815843,1.388059701,7819
