GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASN1E001,NAME_M,ASN1M001
"G20005825","2019-2023","KS",,,"Kansas","20",,,"Belpre city","05825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2005825",,,"2005825","Belpre city, Kansas",57,"Belpre city, Kansas",35
"G20005925","2019-2023","KS",,,"Kansas","20",,,"Belvue city","05925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2005925",,,"2005925","Belvue city, Kansas",170,"Belvue city, Kansas",55
"G20005975","2019-2023","KS",,,"Kansas","20",,,"Bendena CDP","05975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2005975",,,"2005975","Bendena CDP, Kansas",140,"Bendena CDP, Kansas",60
"G20006000","2019-2023","KS",,,"Kansas","20",,,"Benedict city","06000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006000",,,"2006000","Benedict city, Kansas",65,"Benedict city, Kansas",33
"G20006075","2019-2023","KS",,,"Kansas","20",,,"Bennington city","06075",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006075",,,"2006075","Bennington city, Kansas",612,"Bennington city, Kansas",158
"G20006125","2019-2023","KS",,,"Kansas","20",,,"Bentley city","06125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006125",,,"2006125","Bentley city, Kansas",489,"Bentley city, Kansas",123
"G20006175","2019-2023","KS",,,"Kansas","20",,,"Benton city","06175",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006175",,,"2006175","Benton city, Kansas",896,"Benton city, Kansas",180
"G20006275","2019-2023","KS",,,"Kansas","20",,,"Bern city","06275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006275",,,"2006275","Bern city, Kansas",132,"Bern city, Kansas",62
"G20006500","2019-2023","KS",,,"Kansas","20",,,"Beverly city","06500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006500",,,"2006500","Beverly city, Kansas",138,"Beverly city, Kansas",56
"G20006575","2019-2023","KS",,,"Kansas","20",,,"Big Bow CDP","06575",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006575",,,"2006575","Big Bow CDP, Kansas",148,"Big Bow CDP, Kansas",154
"G20006825","2019-2023","KS",,,"Kansas","20",,,"Bird City city","06825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006825",,,"2006825","Bird City city, Kansas",579,"Bird City city, Kansas",136
"G20006950","2019-2023","KS",,,"Kansas","20",,,"Bison city","06950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2006950",,,"2006950","Bison city, Kansas",201,"Bison city, Kansas",83
"G20007600","2019-2023","KS",,,"Kansas","20",,,"Blue Mound city","07600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2007600",,,"2007600","Blue Mound city, Kansas",252,"Blue Mound city, Kansas",101
"G20007650","2019-2023","KS",,,"Kansas","20",,,"Blue Rapids city","07650",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2007650",,,"2007650","Blue Rapids city, Kansas",918,"Blue Rapids city, Kansas",148
"G20007775","2019-2023","KS",,,"Kansas","20",,,"Bluff City city","07775",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2007775",,,"2007775","Bluff City city, Kansas",37,"Bluff City city, Kansas",31
"G20007825","2019-2023","KS",,,"Kansas","20",,,"Bogue city","07825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2007825",,,"2007825","Bogue city, Kansas",106,"Bogue city, Kansas",38
"G20007975","2019-2023","KS",,,"Kansas","20",,,"Bonner Springs city","07975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2007975",,,"2007975","Bonner Springs city, Kansas",7735,"Bonner Springs city, Kansas",24
"G20008300","2019-2023","KS",,,"Kansas","20",,,"Bremen CDP","08300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008300",,,"2008300","Bremen CDP, Kansas",202,"Bremen CDP, Kansas",117
"G20008425","2019-2023","KS",,,"Kansas","20",,,"Brewster city","08425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008425",,,"2008425","Brewster city, Kansas",440,"Brewster city, Kansas",164
"G20008450","2019-2023","KS",,,"Kansas","20",,,"Bridgeport CDP","08450",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008450",,,"2008450","Bridgeport CDP, Kansas",31,"Bridgeport CDP, Kansas",34
"G20008475","2019-2023","KS",,,"Kansas","20",,,"Bronson city","08475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008475",,,"2008475","Bronson city, Kansas",573,"Bronson city, Kansas",213
"G20008575","2019-2023","KS",,,"Kansas","20",,,"Brookville city","08575",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008575",,,"2008575","Brookville city, Kansas",205,"Brookville city, Kansas",97
"G20008675","2019-2023","KS",,,"Kansas","20",,,"Brownell city","08675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2008675",,,"2008675","Brownell city, Kansas",18,"Brownell city, Kansas",11
"G20009000","2019-2023","KS",,,"Kansas","20",,,"Bucklin city","09000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009000",,,"2009000","Bucklin city, Kansas",627,"Bucklin city, Kansas",149
"G20009050","2019-2023","KS",,,"Kansas","20",,,"Bucyrus CDP","09050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009050",,,"2009050","Bucyrus CDP, Kansas",16,"Bucyrus CDP, Kansas",25
"G20009150","2019-2023","KS",,,"Kansas","20",,,"Buffalo city","09150",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009150",,,"2009150","Buffalo city, Kansas",290,"Buffalo city, Kansas",210
"G20009200","2019-2023","KS",,,"Kansas","20",,,"Buhler city","09200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009200",,,"2009200","Buhler city, Kansas",1311,"Buhler city, Kansas",241
"G20009225","2019-2023","KS",,,"Kansas","20",,,"Bunker Hill city","09225",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009225",,,"2009225","Bunker Hill city, Kansas",109,"Bunker Hill city, Kansas",60
"G20009250","2019-2023","KS",,,"Kansas","20",,,"Burden city","09250",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009250",,,"2009250","Burden city, Kansas",548,"Burden city, Kansas",116
"G20009275","2019-2023","KS",,,"Kansas","20",,,"Burdett city","09275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009275",,,"2009275","Burdett city, Kansas",313,"Burdett city, Kansas",87
"G20009300","2019-2023","KS",,,"Kansas","20",,,"Burdick CDP","09300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009300",,,"2009300","Burdick CDP, Kansas",28,"Burdick CDP, Kansas",23
"G20009350","2019-2023","KS",,,"Kansas","20",,,"Burlingame city","09350",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009350",,,"2009350","Burlingame city, Kansas",976,"Burlingame city, Kansas",160
"G20009400","2019-2023","KS",,,"Kansas","20",,,"Burlington city","09400",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009400",,,"2009400","Burlington city, Kansas",2615,"Burlington city, Kansas",18
"G20009450","2019-2023","KS",,,"Kansas","20",,,"Burns city","09450",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2009450",,,"2009450","Burns city, Kansas",299,"Burns city, Kansas",95
