GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASN1E001,NAME_M,ASN1M001
"G20015400","2019-2023","KS",,,"Kansas","20",,,"Coolidge city","15400",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015400",,,"2015400","Coolidge city, Kansas",53,"Coolidge city, Kansas",29
"G20015475","2019-2023","KS",,,"Kansas","20",,,"Copeland city","15475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015475",,,"2015475","Copeland city, Kansas",350,"Copeland city, Kansas",98
"G20015725","2019-2023","KS",,,"Kansas","20",,,"Corning city","15725",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015725",,,"2015725","Corning city, Kansas",153,"Corning city, Kansas",44
"G20015900","2019-2023","KS",,,"Kansas","20",,,"Cottonwood Falls city","15900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015900",,,"2015900","Cottonwood Falls city, Kansas",944,"Cottonwood Falls city, Kansas",145
"G20015925","2019-2023","KS",,,"Kansas","20",,,"Council Grove city","15925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2015925",,,"2015925","Council Grove city, Kansas",2487,"Council Grove city, Kansas",208
"G20016025","2019-2023","KS",,,"Kansas","20",,,"Courtland city","16025",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016025",,,"2016025","Courtland city, Kansas",191,"Courtland city, Kansas",54
"G20016150","2019-2023","KS",,,"Kansas","20",,,"Coyville city","16150",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016150",,,"2016150","Coyville city, Kansas",67,"Coyville city, Kansas",48
"G20016325","2019-2023","KS",,,"Kansas","20",,,"Crestline CDP","16325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016325",,,"2016325","Crestline CDP, Kansas",148,"Crestline CDP, Kansas",153
"G20016475","2019-2023","KS",,,"Kansas","20",,,"Croweburg CDP","16475",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016475",,,"2016475","Croweburg CDP, Kansas",111,"Croweburg CDP, Kansas",95
"G20016625","2019-2023","KS",,,"Kansas","20",,,"Cuba city","16625",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016625",,,"2016625","Cuba city, Kansas",213,"Cuba city, Kansas",74
"G20016675","2019-2023","KS",,,"Kansas","20",,,"Cullison city","16675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016675",,,"2016675","Cullison city, Kansas",118,"Cullison city, Kansas",62
"G20016700","2019-2023","KS",,,"Kansas","20",,,"Culver city","16700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016700",,,"2016700","Culver city, Kansas",79,"Culver city, Kansas",38
"G20016775","2019-2023","KS",,,"Kansas","20",,,"Cunningham city","16775",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016775",,,"2016775","Cunningham city, Kansas",457,"Cunningham city, Kansas",102
"G20016975","2019-2023","KS",,,"Kansas","20",,,"Damar city","16975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2016975",,,"2016975","Damar city, Kansas",150,"Damar city, Kansas",57
"G20017000","2019-2023","KS",,,"Kansas","20",,,"Danville city","17000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017000",,,"2017000","Danville city, Kansas",29,"Danville city, Kansas",17
"G20017150","2019-2023","KS",,,"Kansas","20",,,"Dearing city","17150",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017150",,,"2017150","Dearing city, Kansas",325,"Dearing city, Kansas",81
"G20017225","2019-2023","KS",,,"Kansas","20",,,"Deerfield city","17225",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017225",,,"2017225","Deerfield city, Kansas",760,"Deerfield city, Kansas",237
"G20017525","2019-2023","KS",,,"Kansas","20",,,"Delia city","17525",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017525",,,"2017525","Delia city, Kansas",173,"Delia city, Kansas",56
"G20017600","2019-2023","KS",,,"Kansas","20",,,"Delphos city","17600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017600",,,"2017600","Delphos city, Kansas",314,"Delphos city, Kansas",100
"G20017625","2019-2023","KS",,,"Kansas","20",,,"Denison city","17625",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017625",,,"2017625","Denison city, Kansas",159,"Denison city, Kansas",89
"G20017675","2019-2023","KS",,,"Kansas","20",,,"Dennis CDP","17675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017675",,,"2017675","Dennis CDP, Kansas",195,"Dennis CDP, Kansas",155
"G20017750","2019-2023","KS",,,"Kansas","20",,,"Denton city","17750",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017750",,,"2017750","Denton city, Kansas",129,"Denton city, Kansas",50
"G20017800","2019-2023","KS",,,"Kansas","20",,,"Derby city","17800",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017800",,,"2017800","Derby city, Kansas",25801,"Derby city, Kansas",32
"G20017850","2019-2023","KS",,,"Kansas","20",,,"De Soto city","17850",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017850",,,"2017850","De Soto city, Kansas",6333,"De Soto city, Kansas",23
"G20017875","2019-2023","KS",,,"Kansas","20",,,"Detroit CDP","17875",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017875",,,"2017875","Detroit CDP, Kansas",100,"Detroit CDP, Kansas",50
"G20017900","2019-2023","KS",,,"Kansas","20",,,"Devon CDP","17900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017900",,,"2017900","Devon CDP, Kansas",61,"Devon CDP, Kansas",53
"G20017925","2019-2023","KS",,,"Kansas","20",,,"Dexter city","17925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2017925",,,"2017925","Dexter city, Kansas",508,"Dexter city, Kansas",323
"G20018050","2019-2023","KS",,,"Kansas","20",,,"Dighton city","18050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018050",,,"2018050","Dighton city, Kansas",703,"Dighton city, Kansas",120
"G20018250","2019-2023","KS",,,"Kansas","20",,,"Dodge City city","18250",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018250",,,"2018250","Dodge City city, Kansas",27652,"Dodge City city, Kansas",23
"G20018325","2019-2023","KS",,,"Kansas","20",,,"Dorrance city","18325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018325",,,"2018325","Dorrance city, Kansas",193,"Dorrance city, Kansas",84
"G20018400","2019-2023","KS",,,"Kansas","20",,,"Douglass city","18400",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018400",,,"2018400","Douglass city, Kansas",1523,"Douglass city, Kansas",243
"G20018500","2019-2023","KS",,,"Kansas","20",,,"Downs city","18500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018500",,,"2018500","Downs city, Kansas",663,"Downs city, Kansas",105
"G20018600","2019-2023","KS",,,"Kansas","20",,,"Dresden city","18600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018600",,,"2018600","Dresden city, Kansas",49,"Dresden city, Kansas",38
"G20018950","2019-2023","KS",,,"Kansas","20",,,"Dunlap city","18950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2018950",,,"2018950","Dunlap city, Kansas",22,"Dunlap city, Kansas",29
"G20019050","2019-2023","KS",,,"Kansas","20",,,"Durham city","19050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019050",,,"2019050","Durham city, Kansas",55,"Durham city, Kansas",22
"G20019125","2019-2023","KS",,,"Kansas","20",,,"Dwight city","19125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019125",,,"2019125","Dwight city, Kansas",194,"Dwight city, Kansas",52
"G20019275","2019-2023","KS",,,"Kansas","20",,,"Earlton city","19275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019275",,,"2019275","Earlton city, Kansas",116,"Earlton city, Kansas",73
"G20019300","2019-2023","KS",,,"Kansas","20",,,"Eastborough city","19300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019300",,,"2019300","Eastborough city, Kansas",767,"Eastborough city, Kansas",188
"G20019600","2019-2023","KS",,,"Kansas","20",,,"Easton city","19600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019600",,,"2019600","Easton city, Kansas",307,"Easton city, Kansas",99
"G20019700","2019-2023","KS",,,"Kansas","20",,,"Eastshore CDP","19700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019700",,,"2019700","Eastshore CDP, Kansas",17,"Eastshore CDP, Kansas",18
"G20019825","2019-2023","KS",,,"Kansas","20",,,"Edgerton city","19825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019825",,,"2019825","Edgerton city, Kansas",1787,"Edgerton city, Kansas",342
"G20019875","2019-2023","KS",,,"Kansas","20",,,"Edmond city","19875",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019875",,,"2019875","Edmond city, Kansas",33,"Edmond city, Kansas",35
"G20019900","2019-2023","KS",,,"Kansas","20",,,"Edna city","19900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019900",,,"2019900","Edna city, Kansas",357,"Edna city, Kansas",89
"G20019925","2019-2023","KS",,,"Kansas","20",,,"Edson CDP","19925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2019925",,,"2019925","Edson CDP, Kansas",4,"Edson CDP, Kansas",9
"G20020000","2019-2023","KS",,,"Kansas","20",,,"Edwardsville city","20000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020000",,,"2020000","Edwardsville city, Kansas",4721,"Edwardsville city, Kansas",48
"G20020025","2019-2023","KS",,,"Kansas","20",,,"Effingham city","20025",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020025",,,"2020025","Effingham city, Kansas",644,"Effingham city, Kansas",198
"G20020050","2019-2023","KS",,,"Kansas","20",,,"Elbing city","20050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020050",,,"2020050","Elbing city, Kansas",287,"Elbing city, Kansas",92
"G20020075","2019-2023","KS",,,"Kansas","20",,,"El Dorado city","20075",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020075",,,"2020075","El Dorado city, Kansas",12882,"El Dorado city, Kansas",29
"G20020125","2019-2023","KS",,,"Kansas","20",,,"Elgin city","20125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020125",,,"2020125","Elgin city, Kansas",55,"Elgin city, Kansas",32
"G20020250","2019-2023","KS",,,"Kansas","20",,,"Elk City city","20250",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020250",,,"2020250","Elk City city, Kansas",281,"Elk City city, Kansas",118
"G20020300","2019-2023","KS",,,"Kansas","20",,,"Elk Falls city","20300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020300",,,"2020300","Elk Falls city, Kansas",135,"Elk Falls city, Kansas",50
"G20020350","2019-2023","KS",,,"Kansas","20",,,"Elkhart city","20350",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020350",,,"2020350","Elkhart city, Kansas",1732,"Elkhart city, Kansas",175
"G20020425","2019-2023","KS",,,"Kansas","20",,,"Ellinwood city","20425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020425",,,"2020425","Ellinwood city, Kansas",2117,"Ellinwood city, Kansas",303
"G20020450","2019-2023","KS",,,"Kansas","20",,,"Ellis city","20450",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020450",,,"2020450","Ellis city, Kansas",2145,"Ellis city, Kansas",317
"G20020500","2019-2023","KS",,,"Kansas","20",,,"Ellsworth city","20500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020500",,,"2020500","Ellsworth city, Kansas",3098,"Ellsworth city, Kansas",16
"G20020675","2019-2023","KS",,,"Kansas","20",,,"Elmdale city","20675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020675",,,"2020675","Elmdale city, Kansas",39,"Elmdale city, Kansas",37
"G20020875","2019-2023","KS",,,"Kansas","20",,,"Elsmore city","20875",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020875",,,"2020875","Elsmore city, Kansas",49,"Elsmore city, Kansas",35
"G20020950","2019-2023","KS",,,"Kansas","20",,,"Elwood city","20950",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020950",,,"2020950","Elwood city, Kansas",1169,"Elwood city, Kansas",239
"G20020975","2019-2023","KS",,,"Kansas","20",,,"Elyria CDP","20975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2020975",,,"2020975","Elyria CDP, Kansas",291,"Elyria CDP, Kansas",240
"G20021100","2019-2023","KS",,,"Kansas","20",,,"Emmett city","21100",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021100",,,"2021100","Emmett city, Kansas",186,"Emmett city, Kansas",76
"G20021275","2019-2023","KS",,,"Kansas","20",,,"Emporia city","21275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021275",,,"2021275","Emporia city, Kansas",24098,"Emporia city, Kansas",32
"G20021350","2019-2023","KS",,,"Kansas","20",,,"Englewood city","21350",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021350",,,"2021350","Englewood city, Kansas",84,"Englewood city, Kansas",38
"G20021400","2019-2023","KS",,,"Kansas","20",,,"Ensign city","21400",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021400",,,"2021400","Ensign city, Kansas",113,"Ensign city, Kansas",43
"G20021425","2019-2023","KS",,,"Kansas","20",,,"Enterprise city","21425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021425",,,"2021425","Enterprise city, Kansas",831,"Enterprise city, Kansas",147
"G20021500","2019-2023","KS",,,"Kansas","20",,,"Erie city","21500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021500",,,"2021500","Erie city, Kansas",1318,"Erie city, Kansas",237
"G20021600","2019-2023","KS",,,"Kansas","20",,,"Esbon city","21600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021600",,,"2021600","Esbon city, Kansas",59,"Esbon city, Kansas",29
"G20021650","2019-2023","KS",,,"Kansas","20",,,"Eskridge city","21650",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021650",,,"2021650","Eskridge city, Kansas",388,"Eskridge city, Kansas",112
"G20021675","2019-2023","KS",,,"Kansas","20",,,"Eudora city","21675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021675",,,"2021675","Eudora city, Kansas",6036,"Eudora city, Kansas",521
"G20021800","2019-2023","KS",,,"Kansas","20",,,"Eureka city","21800",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2021800",,,"2021800","Eureka city, Kansas",2271,"Eureka city, Kansas",235
"G20022025","2019-2023","KS",,,"Kansas","20",,,"Everest city","22025",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2022025",,,"2022025","Everest city, Kansas",387,"Everest city, Kansas",88
"G20022425","2019-2023","KS",,,"Kansas","20",,,"Fairview city","22425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2022425",,,"2022425","Fairview city, Kansas",287,"Fairview city, Kansas",94
"G20022700","2019-2023","KS",,,"Kansas","20",,,"Fairway city","22700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2022700",,,"2022700","Fairway city, Kansas",4177,"Fairway city, Kansas",40
"G20022775","2019-2023","KS",,,"Kansas","20",,,"Fall River city","22775",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2022775",,,"2022775","Fall River city, Kansas",148,"Fall River city, Kansas",85
"G20022900","2019-2023","KS",,,"Kansas","20",,,"Falun CDP","22900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2022900",,,"2022900","Falun CDP, Kansas",151,"Falun CDP, Kansas",96
"G20023050","2019-2023","KS",,,"Kansas","20",,,"Farlington CDP","23050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023050",,,"2023050","Farlington CDP, Kansas",68,"Farlington CDP, Kansas",61
"G20023600","2019-2023","KS",,,"Kansas","20",,,"Florence city","23600",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023600",,,"2023600","Florence city, Kansas",537,"Florence city, Kansas",123
"G20023650","2019-2023","KS",,,"Kansas","20",,,"Fontana city","23650",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023650",,,"2023650","Fontana city, Kansas",447,"Fontana city, Kansas",218
"G20023725","2019-2023","KS",,,"Kansas","20",,,"Ford city","23725",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023725",,,"2023725","Ford city, Kansas",195,"Ford city, Kansas",82
"G20023825","2019-2023","KS",,,"Kansas","20",,,"Formoso city","23825",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023825",,,"2023825","Formoso city, Kansas",81,"Formoso city, Kansas",34
"G20023890","2019-2023","KS",,,"Kansas","20",,,"Fort Dodge CDP","23890",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023890",,,"2023890","Fort Dodge CDP, Kansas",145,"Fort Dodge CDP, Kansas",54
"G20023975","2019-2023","KS",,,"Kansas","20",,,"Fort Riley CDP","23975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2023975",,,"2023975","Fort Riley CDP, Kansas",8595,"Fort Riley CDP, Kansas",584
"G20024000","2019-2023","KS",,,"Kansas","20",,,"Fort Scott city","24000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024000",,,"2024000","Fort Scott city, Kansas",7551,"Fort Scott city, Kansas",43
"G20024175","2019-2023","KS",,,"Kansas","20",,,"Fowler city","24175",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024175",,,"2024175","Fowler city, Kansas",507,"Fowler city, Kansas",189
"G20024275","2019-2023","KS",,,"Kansas","20",,,"Frankfort city","24275",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024275",,,"2024275","Frankfort city, Kansas",731,"Frankfort city, Kansas",118
"G20024325","2019-2023","KS",,,"Kansas","20",,,"Franklin CDP","24325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024325",,,"2024325","Franklin CDP, Kansas",763,"Franklin CDP, Kansas",266
"G20024550","2019-2023","KS",,,"Kansas","20",,,"Frederick city","24550",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024550",,,"2024550","Frederick city, Kansas",39,"Frederick city, Kansas",36
"G20024575","2019-2023","KS",,,"Kansas","20",,,"Fredonia city","24575",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024575",,,"2024575","Fredonia city, Kansas",2113,"Fredonia city, Kansas",295
"G20024850","2019-2023","KS",,,"Kansas","20",,,"Frontenac city","24850",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024850",,,"2024850","Frontenac city, Kansas",3381,"Frontenac city, Kansas",26
"G20024925","2019-2023","KS",,,"Kansas","20",,,"Fulton city","24925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024925",,,"2024925","Fulton city, Kansas",121,"Fulton city, Kansas",58
"G20024975","2019-2023","KS",,,"Kansas","20",,,"Furley CDP","24975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2024975",,,"2024975","Furley CDP, Kansas",48,"Furley CDP, Kansas",50
"G20025050","2019-2023","KS",,,"Kansas","20",,,"Galatia city","25050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025050",,,"2025050","Galatia city, Kansas",23,"Galatia city, Kansas",14
"G20025100","2019-2023","KS",,,"Kansas","20",,,"Galena city","25100",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025100",,,"2025100","Galena city, Kansas",2752,"Galena city, Kansas",32
"G20025150","2019-2023","KS",,,"Kansas","20",,,"Galesburg city","25150",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025150",,,"2025150","Galesburg city, Kansas",184,"Galesburg city, Kansas",85
"G20025200","2019-2023","KS",,,"Kansas","20",,,"Galva city","25200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025200",,,"2025200","Galva city, Kansas",997,"Galva city, Kansas",247
"G20025325","2019-2023","KS",,,"Kansas","20",,,"Garden City city","25325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025325",,,"2025325","Garden City city, Kansas",27781,"Garden City city, Kansas",27
"G20025375","2019-2023","KS",,,"Kansas","20",,,"Garden Plain city","25375",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025375",,,"2025375","Garden Plain city, Kansas",1055,"Garden Plain city, Kansas",262
"G20025425","2019-2023","KS",,,"Kansas","20",,,"Gardner city","25425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025425",,,"2025425","Gardner city, Kansas",24020,"Gardner city, Kansas",46
"G20025750","2019-2023","KS",,,"Kansas","20",,,"Garfield city","25750",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025750",,,"2025750","Garfield city, Kansas",109,"Garfield city, Kansas",62
"G20025900","2019-2023","KS",,,"Kansas","20",,,"Garland CDP","25900",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025900",,,"2025900","Garland CDP, Kansas",25,"Garland CDP, Kansas",21
"G20025925","2019-2023","KS",,,"Kansas","20",,,"Garnett city","25925",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025925",,,"2025925","Garnett city, Kansas",3200,"Garnett city, Kansas",51
"G20025975","2019-2023","KS",,,"Kansas","20",,,"Gas city","25975",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2025975",,,"2025975","Gas city, Kansas",581,"Gas city, Kansas",155
"G20026000","2019-2023","KS",,,"Kansas","20",,,"Gaylord city","26000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026000",,,"2026000","Gaylord city, Kansas",85,"Gaylord city, Kansas",32
"G20026050","2019-2023","KS",,,"Kansas","20",,,"Gem city","26050",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026050",,,"2026050","Gem city, Kansas",125,"Gem city, Kansas",72
"G20026075","2019-2023","KS",,,"Kansas","20",,,"Geneseo city","26075",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026075",,,"2026075","Geneseo city, Kansas",224,"Geneseo city, Kansas",72
"G20026200","2019-2023","KS",,,"Kansas","20",,,"Geuda Springs city","26200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026200",,,"2026200","Geuda Springs city, Kansas",190,"Geuda Springs city, Kansas",103
"G20026300","2019-2023","KS",,,"Kansas","20",,,"Girard city","26300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026300",,,"2026300","Girard city, Kansas",2706,"Girard city, Kansas",281
"G20026325","2019-2023","KS",,,"Kansas","20",,,"Glade city","26325",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026325",,,"2026325","Glade city, Kansas",58,"Glade city, Kansas",25
"G20026375","2019-2023","KS",,,"Kansas","20",,,"Glasco city","26375",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026375",,,"2026375","Glasco city, Kansas",337,"Glasco city, Kansas",108
"G20026500","2019-2023","KS",,,"Kansas","20",,,"Glen Elder city","26500",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026500",,,"2026500","Glen Elder city, Kansas",520,"Glen Elder city, Kansas",163
"G20026725","2019-2023","KS",,,"Kansas","20",,,"Goddard city","26725",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026725",,,"2026725","Goddard city, Kansas",5361,"Goddard city, Kansas",557
"G20026750","2019-2023","KS",,,"Kansas","20",,,"Goessel city","26750",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026750",,,"2026750","Goessel city, Kansas",541,"Goessel city, Kansas",116
"G20026775","2019-2023","KS",,,"Kansas","20",,,"Goff city","26775",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026775",,,"2026775","Goff city, Kansas",90,"Goff city, Kansas",57
"G20026875","2019-2023","KS",,,"Kansas","20",,,"Goodland city","26875",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2026875",,,"2026875","Goodland city, Kansas",3878,"Goodland city, Kansas",297
"G20027000","2019-2023","KS",,,"Kansas","20",,,"Gorham city","27000",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2027000",,,"2027000","Gorham city, Kansas",355,"Gorham city, Kansas",107
"G20027125","2019-2023","KS",,,"Kansas","20",,,"Gove City city","27125",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2027125",,,"2027125","Gove City city, Kansas",66,"Gove City city, Kansas",33
"G20027200","2019-2023","KS",,,"Kansas","20",,,"Grainfield city","27200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2027200",,,"2027200","Grainfield city, Kansas",243,"Grainfield city, Kansas",40
"G20027425","2019-2023","KS",,,"Kansas","20",,,"Grandview Plaza city","27425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2027425",,,"2027425","Grandview Plaza city, Kansas",1801,"Grandview Plaza city, Kansas",335
"G20028200","2019-2023","KS",,,"Kansas","20",,,"Grantville CDP","28200",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028200",,,"2028200","Grantville CDP, Kansas",130,"Grantville CDP, Kansas",108
"G20028300","2019-2023","KS",,,"Kansas","20",,,"Great Bend city","28300",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028300",,,"2028300","Great Bend city, Kansas",14596,"Great Bend city, Kansas",37
"G20028350","2019-2023","KS",,,"Kansas","20",,,"Greeley city","28350",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028350",,,"2028350","Greeley city, Kansas",303,"Greeley city, Kansas",121
"G20028412","2019-2023","KS",,,"Kansas","20",,,"Greeley County unified government (balance)","28412",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028412",,,"2028412","Greeley County unified government (balance), Kansas",420,"Greeley County unified government (balance), Kansas",100
"G20028425","2019-2023","KS",,,"Kansas","20",,,"Green city","28425",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028425",,,"2028425","Green city, Kansas",121,"Green city, Kansas",63
"G20028625","2019-2023","KS",,,"Kansas","20",,,"Greenleaf city","28625",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028625",,,"2028625","Greenleaf city, Kansas",315,"Greenleaf city, Kansas",69
"G20028675","2019-2023","KS",,,"Kansas","20",,,"Greensburg city","28675",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028675",,,"2028675","Greensburg city, Kansas",703,"Greensburg city, Kansas",97
"G20028700","2019-2023","KS",,,"Kansas","20",,,"Greenwich CDP","28700",,,,,,,,,,,,,".",".",,,,,,,,,,,,"1600000US2028700",,,"2028700","Greenwich CDP, Kansas",56,"Greenwich CDP, Kansas",34
